Target,R2 Score,MAE (Đơn vị gốc),Mean Value (Quy mô),Sai số % (MAPE)
E2_CO,0.5479686597016992,10735.95110738395,49169.77504282284,21.83304587543859
E2_PM2.5,0.6051644984158688,1272.983124315834,5976.407586750127,21.749039850660086
E2_PM10,0.6048627684774455,1379.6537760944268,6507.351833964212,21.64459146607744
E2_HC,0.6911239495801735,3957.0902464010305,21103.08971756885,19.011437275974753
E2_CH4,0.6911239587901493,79.14180340689884,422.0617943513771,19.011436909433925
E2_NOx,0.9318546282969953,54122.563221915145,452655.08211656514,14.79466404646349
E2_N2O,0.8846293779294875,121.04929948088018,1025.1133229665695,13.877980125468403
E1_CO,0.8988854872105049,714.036685487482,6902.109397239227,12.461767762634214
E5_NOx,0.9823023839087005,428726.0494973994,6616912.227444449,9.876371310092969
E1_PM2.5,0.9234774655195483,73.30729886908058,839.1258489252622,9.522289870035909
E1_PM10,0.9242986755854055,79.59048514952129,913.6759304706359,9.393001936671155
E1_CH4,0.9304943342094443,4.7020651876241635,59.24903940843697,8.721029671119181
E1_HC,0.9304943337810552,235.10325800149155,2962.451970421849,8.721029521519371
E1_NOx,0.9828127922901155,3667.3651983285795,64059.0574121022,8.045913373521287
E2_CO2,0.9517486527542142,1322921.7107363492,21029736.944146916,6.879387028069084
E2_SOx,0.9528389320921821,800.7110807902252,12837.64123387489,6.814480890883795
E1_CO2,0.970375571700634,137003.55695331906,2952995.349439302,5.152396027921543
E1_SOx,0.9702133699833007,84.06159093188985,1802.6610374346944,5.123489760492618
E5_N2O,0.9921036751424899,697.4226747971271,19385.563021341797,4.957271543360608
E5_SOx,0.992103675782578,10100.60471702327,280756.42996426055,4.957271514356882
E5_CO2,0.9921036750497872,16738144.277145308,465253512.51220316,4.95727150485424
E5_PM10,0.9921036753077208,4569.3209982631515,127008.86117430833,4.9572714349962705
E5_PM2.5,0.9921036758988399,4088.339787963168,113639.5073664864,4.957271380672649
E5_HC,0.9921036755641323,9619.622788441498,267387.0761564386,4.957271312726226
E5_CO,0.9921036758199541,26453.963565574013,735314.4594302062,4.95727128291304
E5_CH4,0.992103675641087,192.39245821707664,5347.741523128771,4.957271258685343
E1_N2O,0.9714112051064556,6.617922254969442,143.93037226690817,4.923838670766311
E3_NOx,0.9952904452294242,68.28869194005539,2287.7906925602488,3.9473382875428773
E4_NOx,0.9947143181074356,4290.659605009029,147337.68761662886,3.8108275080503518
E4_N2O,0.9960833722151745,7.567649776550861,432.2020596729458,1.9591605144948887
E4_CO,0.9960833720132881,287.04877218766967,16393.871228973803,1.9591604443886617
E4_HC,0.9960833724458493,104.38136329613218,5961.407719626838,1.959160392118231
E4_CH4,0.996083371532757,2.087627298068492,119.22815439253675,1.9591603431796862
E4_PM10,0.996083372545476,49.58114579814903,2831.668666822748,1.9591603258395955
E4_CO2,0.9960833723337751,181623.57045281513,10372849.4321507,1.9591602935737897
E4_SOx,0.9960833723116914,109.60043094194205,6259.478105608179,1.9591602811124118
E4_PM2.5,0.9960833729265323,44.36207585670641,2533.598280841406,1.9591601975324595
E3_CO2,0.9969298571932569,2608.289874313556,161687.31931468818,1.8641587425567825
E3_N2O,0.9969298571996903,0.10867874873079342,6.736971638112007,1.8641587173537355
E3_HC,0.9969298576556618,1.4990171342176488,92.92374673257943,1.864158627220265
E3_CH4,0.9969298577114084,0.029980341819726277,1.8584749346515885,1.8641586041520517
E3_SOx,0.9969298574285269,1.5739679330205747,97.56993406920839,1.8641585823451983
E3_PM2.5,0.9969298574214346,0.637082279891146,39.492592361346254,1.864158543682051
E3_PM10,0.99692985823337,0.7120330651171529,44.138779697975224,1.8641585327168717
E3_CO,0.9969298578585888,4.122296797821718,255.54030351459343,1.864158532611863
