Target,R2 Score,MAE (Đơn vị gốc),Mean Value (Quy mô),Sai số % (MAPE)
E2_CO,0.9135551520659279,6731.068132702967,55822.616663006826,15.788994548155873
E5_NOx,0.9823023839087005,428726.0494973994,6616912.227444449,9.876371310092969
E1_CO,0.8970604237050801,631.1783577251788,7022.085796676149,9.215568396160368
E1_NOx,0.9832931345724308,3576.848812967232,63393.10771360302,8.062634220329985
E1_HC,0.9408577441120108,194.6153157571961,2819.0847017806286,7.865398077997229
E1_CH4,0.940857745826244,3.8923062508972333,56.381694035612576,7.865397891859723
E1_PM2.5,0.9376122552837731,54.229975627908345,790.8089937475021,7.817911332732617
E1_PM10,0.9391849025492205,58.525039514963346,861.0736561039757,7.7025926283191435
E2_CH4,0.9467822597273452,29.727621487228678,426.61683346484193,7.700252259883744
E2_HC,0.9467822577217591,1486.3810912422973,21330.8416732421,7.700252234967333
E2_NOx,0.9803547894836159,28928.4389032142,489958.9697091033,7.651162302469283
E2_PM10,0.9420221454713846,350.7588587347734,5359.663290269265,7.200615159658594
E2_PM2.5,0.9422361956139003,317.2160270171323,4922.222458979124,6.915339892048659
E2_CO2,0.9567101088204066,1154581.7272104782,21488385.899592925,5.610159558509148
E2_SOx,0.9577453640551282,703.6385750678235,13121.358117675452,5.602407078144282
E1_CO2,0.9710454616055846,135160.9358424571,2942116.921092009,5.109855883348352
E1_N2O,0.9703334568211194,6.671954086705736,142.33096616249296,5.104423267653917
E1_SOx,0.9709621004930585,82.27812072257116,1796.020251825535,5.05421422788674
E2_N2O,0.9637386163008848,53.119916884422516,1116.7050583880557,5.0157537162399946
E5_N2O,0.9921036751424899,697.4226747971271,19385.563021341797,4.957271543360608
E5_SOx,0.992103675782578,10100.60471702327,280756.42996426055,4.957271514356882
E5_CO2,0.9921036750497872,16738144.277145308,465253512.51220316,4.95727150485424
E5_PM10,0.9921036753077208,4569.3209982631515,127008.86117430833,4.9572714349962705
E5_PM2.5,0.9921036758988399,4088.339787963168,113639.5073664864,4.957271380672649
E5_HC,0.9921036755641323,9619.622788441498,267387.0761564386,4.957271312726226
E5_CO,0.9921036758199541,26453.963565574013,735314.4594302062,4.95727128291304
E5_CH4,0.992103675641087,192.39245821707664,5347.741523128771,4.957271258685343
E3_NOx,0.9952904452294242,68.28869194005539,2287.7906925602488,3.9473382875428773
E4_NOx,0.9947143181074356,4290.659605009029,147337.68761662886,3.8108275080503518
E4_N2O,0.9960833722151745,7.567649776550861,432.2020596729458,1.9591605144948887
E4_CO,0.9960833720132881,287.04877218766967,16393.871228973803,1.9591604443886617
E4_HC,0.9960833724458493,104.38136329613218,5961.407719626838,1.959160392118231
E4_CH4,0.996083371532757,2.087627298068492,119.22815439253675,1.9591603431796862
E4_PM10,0.996083372545476,49.58114579814903,2831.668666822748,1.9591603258395955
E4_CO2,0.9960833723337751,181623.57045281513,10372849.4321507,1.9591602935737897
E4_SOx,0.9960833723116914,109.60043094194205,6259.478105608179,1.9591602811124118
E4_PM2.5,0.9960833729265323,44.36207585670641,2533.598280841406,1.9591601975324595
E3_CO2,0.9969298571932569,2608.289874313556,161687.31931468818,1.8641587425567825
E3_N2O,0.9969298571996903,0.10867874873079342,6.736971638112007,1.8641587173537355
E3_HC,0.9969298576556618,1.4990171342176488,92.92374673257943,1.864158627220265
E3_CH4,0.9969298577114084,0.029980341819726277,1.8584749346515885,1.8641586041520517
E3_SOx,0.9969298574285269,1.5739679330205747,97.56993406920839,1.8641585823451983
E3_PM2.5,0.9969298574214346,0.637082279891146,39.492592361346254,1.864158543682051
E3_PM10,0.99692985823337,0.7120330651171529,44.138779697975224,1.8641585327168717
E3_CO,0.9969298578585888,4.122296797821718,255.54030351459343,1.864158532611863
