Target,R2,MAE,Mean_Value,MAPE
E2_CO,0.9131716394475069,6773.949288400441,55822.616663006826,16.057155044749756
E5_NOx,0.9828894816912354,424626.17556743644,6616912.227444449,10.115588743646901
E1_CO,0.8970856964867928,634.4020114603977,7022.085796676149,9.235726427620564
E1_NOx,0.9835188651407272,3529.668947660143,63393.10771360302,7.9461767551123845
E1_HC,0.939678044979367,196.40970150956326,2819.0847017806286,7.911140743595123
E1_CH4,0.9397704094742235,3.925593084934324,56.381694035612576,7.907663478557642
E1_PM2.5,0.9387652773088012,53.943950923753796,790.8089937475021,7.795881208181439
E2_NOx,0.981114163654995,28468.619709539445,489958.9697091033,7.699292878976069
E1_PM10,0.939704828519539,58.24167673466303,861.0736561039757,7.603684786395849
E2_HC,0.9479731456015164,1454.003093956641,21330.8416732421,7.5474785382762155
E2_CH4,0.9479864661102522,29.045409304215255,426.61683346484193,7.534003139586987
E2_PM10,0.9417571694017717,349.0859762299935,5359.663290269265,7.086707734664611
E2_PM2.5,0.941846310249182,320.54872210945723,4922.222458979124,7.04470139011299
E2_SOx,0.9565906949659059,715.7017764078864,13121.358117675452,5.692589125522996
E2_CO2,0.9561664875379673,1167647.434511029,21488385.899592925,5.684269434849984
E1_N2O,0.9699536983510006,6.723409482900589,142.33096616249296,5.126690772289906
E2_N2O,0.9637124648642087,54.02467565640749,1116.7050583880557,5.124458716321235
E1_CO2,0.9710972548152065,134738.7134946193,2942116.921092009,5.092432640948878
E1_SOx,0.970816581611746,82.124734392421,1796.020251825535,5.080348454902877
E5_PM2.5,0.9919228889210105,4101.640460472865,113639.5073664864,4.834058790299306
E5_PM10,0.9919310754804797,4577.83119349182,127008.86117430833,4.832264670248343
E5_CO2,0.9919333725576629,16766626.588962212,465253512.51220316,4.8312098505202306
E5_CO,0.9919279126723388,26516.280174107265,735314.4594302062,4.831199845735281
E5_CH4,0.991930572608536,192.79406172814555,5347.741523128771,4.829709640740343
E5_HC,0.9919263448778683,9642.190885879421,267387.0761564386,4.828631911926902
E5_N2O,0.9919259826429617,700.2450062899131,19385.563021341797,4.8283341447264565
E5_SOx,0.9919307624315875,10118.386636466928,280756.42996426055,4.827312803030048
E3_NOx,0.995305044747864,67.88663721150905,2287.7906925602488,3.9486284999179824
E4_NOx,0.9948661671545012,4224.441832318287,147337.68761662886,3.8008657770043563
E4_PM2.5,0.9960587360624851,44.42711260617707,2533.598280841406,1.9475581615815232
E4_PM10,0.9960574078306551,49.62032476143043,2831.668666822748,1.9449631576676008
E4_N2O,0.9960489571661991,7.569088932494131,432.2020596729458,1.9440888589077239
E4_CO,0.9960463044990361,287.27081365480956,16393.871228973803,1.9440849937081899
E4_SOx,0.9960466229975568,109.60758319378465,6259.478105608179,1.9433050105165879
E4_HC,0.9960598193006795,104.31673284855772,5961.407719626838,1.9421900754922945
E4_CH4,0.9960649817417839,2.0847817293997406,119.22815439253675,1.9414278414264297
E4_CO2,0.9960718007907744,181148.73972505593,10372849.4321507,1.939458081005472
E3_CO2,0.9968895556047682,2625.7989950146753,161687.31931468818,1.877324417121498
E3_PM10,0.9968962949809141,0.7155080908358609,44.138779697975224,1.8749522023483858
E3_HC,0.9968971944509599,1.5063817148943521,92.92374673257943,1.8740143950880743
E3_CO,0.9968959958574809,4.1415561406696195,255.54030351459343,1.8734422273078064
E3_PM2.5,0.9968954892716512,0.6402282507115398,39.492592361346254,1.8726574375829426
E3_N2O,0.9968981319393785,0.10903966213023644,6.736971638112007,1.8711081769061249
E3_CH4,0.9969006870762771,0.030063773914554812,1.8584749346515885,1.8695009166271699
E3_SOx,0.9969026853566715,1.577503991960451,97.56993406920839,1.8664502628057893
