Target,R2,MAE,Mean_Value,MAPE
E2_PM2.5,0.6051153317721361,1277.242688895756,5976.407586750127,21.873657345855857
E2_CO,0.5592260446194063,10650.770623468667,49169.77504282284,21.786304090444332
E2_PM10,0.6080626846882237,1372.2569251741083,6507.351833964212,21.484038093642656
E2_HC,0.6896248554014539,3965.378345302145,21103.08971756885,19.064092418684492
E2_CH4,0.6896588737930083,79.26930013402445,422.0617943513771,19.051869395694045
E2_NOx,0.9331493090145131,53485.679233768555,452655.08211656514,14.683732038260649
E2_N2O,0.8850611813559495,120.96399009751146,1025.1133229665695,13.918020633132713
E1_CO,0.8975920473364103,718.8012936440889,6902.109397239227,12.60012753324663
E5_NOx,0.9828894816912354,424626.17556743644,6616912.227444449,10.115588743646901
E1_PM10,0.9241002192221962,80.09122954109402,913.6759304706359,9.518155481794086
E1_PM2.5,0.9241301811366763,73.15419616441808,839.1258489252622,9.494299042212804
E1_HC,0.9293470390589512,237.4306455999341,2962.451970421849,8.777622139816847
E1_CH4,0.9294120089413707,4.747419725606258,59.24903940843697,8.777612191337191
E1_NOx,0.9830121974799207,3622.7908454515045,64059.0574121022,7.95327069259037
E2_SOx,0.9513923370305771,816.8339289002595,12837.64123387489,6.950242221099846
E2_CO2,0.9513235324531738,1323395.517366963,21029736.944146916,6.8879770355857906
E1_CO2,0.9704130905208784,136826.22790196454,2952995.349439302,5.140691146580184
E1_SOx,0.9700698612440638,83.34001660337564,1802.6610374346944,5.117699403845491
E1_N2O,0.971066667377381,6.677604296285847,143.93037226690817,4.9611484625465705
E5_PM2.5,0.9919228889210105,4101.640460472865,113639.5073664864,4.834058790299306
E5_PM10,0.9919310754804797,4577.83119349182,127008.86117430833,4.832264670248343
E5_CO2,0.9919333725576629,16766626.588962212,465253512.51220316,4.8312098505202306
E5_CO,0.9919279126723388,26516.280174107265,735314.4594302062,4.831199845735281
E5_CH4,0.991930572608536,192.79406172814555,5347.741523128771,4.829709640740343
E5_HC,0.9919263448778683,9642.190885879421,267387.0761564386,4.828631911926902
E5_N2O,0.9919259826429617,700.2450062899131,19385.563021341797,4.8283341447264565
E5_SOx,0.9919307624315875,10118.386636466928,280756.42996426055,4.827312803030048
E3_NOx,0.995305044747864,67.88663721150905,2287.7906925602488,3.9486284999179824
E4_NOx,0.9948661671545012,4224.441832318287,147337.68761662886,3.8008657770043563
E4_PM2.5,0.9960587360624851,44.42711260617707,2533.598280841406,1.9475581615815232
E4_PM10,0.9960574078306551,49.62032476143043,2831.668666822748,1.9449631576676008
E4_N2O,0.9960489571661991,7.569088932494131,432.2020596729458,1.9440888589077239
E4_CO,0.9960463044990361,287.27081365480956,16393.871228973803,1.9440849937081899
E4_SOx,0.9960466229975568,109.60758319378465,6259.478105608179,1.9433050105165879
E4_HC,0.9960598193006795,104.31673284855772,5961.407719626838,1.9421900754922945
E4_CH4,0.9960649817417839,2.0847817293997406,119.22815439253675,1.9414278414264297
E4_CO2,0.9960718007907744,181148.73972505593,10372849.4321507,1.939458081005472
E3_CO2,0.9968895556047682,2625.7989950146753,161687.31931468818,1.877324417121498
E3_PM10,0.9968962949809141,0.7155080908358609,44.138779697975224,1.8749522023483858
E3_HC,0.9968971944509599,1.5063817148943521,92.92374673257943,1.8740143950880743
E3_CO,0.9968959958574809,4.1415561406696195,255.54030351459343,1.8734422273078064
E3_PM2.5,0.9968954892716512,0.6402282507115398,39.492592361346254,1.8726574375829426
E3_N2O,0.9968981319393785,0.10903966213023644,6.736971638112007,1.8711081769061249
E3_CH4,0.9969006870762771,0.030063773914554812,1.8584749346515885,1.8695009166271699
E3_SOx,0.9969026853566715,1.577503991960451,97.56993406920839,1.8664502628057893
